roi,stat,value
L_MTL,mean1,1.1871927015012969
L_MTL,mean1,1.1552556280527964
L_MTL,mean1,1.162310203159582
L_MTL,mean1,1.1614479160072921
L_MTL,mean1,1.1629995379033937
L_MTL,sd1,0.09659046822868937
L_MTL,sd1,0.07168898834521466
L_MTL,sd1,0.05946303925989962
L_MTL,sd1,0.0753017280591963
L_MTL,sd1,0.08682998349706376
L_MTL,weight1,0.2205345777300223
L_MTL,weight1,0.19124889563596031
L_MTL,weight1,0.1622449543390338
L_MTL,weight1,0.15888236408329784
L_MTL,weight1,0.23586440107190082
L_MTL,bic,150.14030869612623
L_MTL,bic,99.00400543776755
L_MTL,bic,160.21850778264684
L_MTL,bic,132.96612949781783
L_MTL,bic,128.53314754054932
L_MTL,z,-1.9380038727847966
L_MTL,z,-2.1656830656497874
L_MTL,z,-2.7295981702206724
L_MTL,z,-2.144013426629127
L_MTL,z,-1.8772264065776967
R_MTL,mean1,1.1867778038131467
R_MTL,mean1,1.1154105292919427
R_MTL,mean1,1.1397423911022395
R_MTL,mean1,1.1408297130271021
R_MTL,mean1,1.1397369075587684
R_MTL,sd1,0.11379949404584262
R_MTL,sd1,0.04870720403774664
R_MTL,sd1,0.07271360610385624
R_MTL,sd1,0.08588334972256605
R_MTL,sd1,0.06636198984843805
R_MTL,weight1,0.30226527863626346
R_MTL,weight1,0.11767985975433946
R_MTL,weight1,0.1949387676680344
R_MTL,weight1,0.24330893367409365
R_MTL,weight1,0.15550644900204688
R_MTL,bic,162.18043834281445
R_MTL,bic,132.6590923154967
R_MTL,bic,123.25940869457452
R_MTL,bic,105.22436260195718
R_MTL,bic,122.3437128125353
R_MTL,z,-1.6412885257460434
R_MTL,z,-2.369475554427287
R_MTL,z,-1.9218190183367692
R_MTL,z,-1.639778996534631
R_MTL,z,-2.1056768773496537
L_temporal,mean1,1.1396204219556272
L_temporal,mean1,1.129012419976299
L_temporal,mean1,1.130932780532868
L_temporal,mean1,1.1305603902380765
L_temporal,mean1,1.135934551406604
L_temporal,sd1,0.061303456785279625
L_temporal,sd1,0.05988714849892823
L_temporal,sd1,0.05224534936881814
L_temporal,sd1,0.0593312154837582
L_temporal,sd1,0.05617585269389295
L_temporal,weight1,0.23801544152936244
L_temporal,weight1,0.2485580334453725
L_temporal,weight1,0.20208713648376309
L_temporal,weight1,0.23940604797807497
L_temporal,weight1,0.2173996524783984
L_temporal,bic,611.4592329462693
L_temporal,bic,634.308391803634
L_temporal,bic,633.2639736271728
L_temporal,bic,595.7743485695529
